t,ytd_old,ytd_new,basis,p_old,p_new,s1g,s2g,s1u,s2u,ytd_uni_old
HUBB,2.13,16.4,prior_year_close,2,6,74,78,78,78,11.64
HUM,104.69,51.43,prior_year_close,-2,12,49,63,63,63,46.65
HUT,55.72,92.84,prior_year_close,8,12,34,38,34,38,72.79
HWM,25.31,37.69,prior_year_close,12,12,87,87,87,87,33.34
IBKR,12.23,36.86,prior_year_close,6,12,45,51,51,51,30.91
IBM,-18.88,-18.85,prior_year_close,-10,-10,47,47,47,47,-17.53
ICE,-10.7,-6.55,prior_year_close,-10,-4,59,65,65,65,-5.4
IDXX,-8.3,-13.28,prior_year_close,-4,-10,74,68,68,68,-12.44
IEX,12.01,33.15,prior_year_close,6,12,72,78,78,78,32.32
IFF,15.53,28.88,prior_year_close,6,12,80,86,86,86,27.67
INCY,10.58,22.06,prior_year_close,6,12,65,71,65,71,18.87
INTC,102.33,175.47,prior_year_close,-2,12,58,72,53,72,158.13
INTU,-25.1,-50.44,prior_year_close,-10,-10,59,59,59,59,-47.84
INVH,17.45,11.75,prior_year_close,6,6,81,81,81,81,12.03
IP,-10.27,8.2,prior_year_close,-10,6,44,60,60,60,5.89
IQV,23.89,5.9,prior_year_close,12,6,81,75,75,75,5.91
IR,-11.56,9.84,prior_year_close,-10,6,65,81,81,81,9.09
IRM,26.67,48.25,prior_year_close,12,12,38,38,38,38,47.73
ISRG,-23.14,-33.11,prior_year_close,-10,-10,50,50,50,50,-32.59
IT,16.18,-26.43,prior_year_close,6,-10,70,54,54,54,-21.7
ITW,3.36,21.94,prior_year_close,2,12,68,78,78,78,20.38
IVZ,19.31,22.13,prior_year_close,6,12,75,81,75,81,19.09
J,-3.35,10.15,prior_year_close,-4,6,70,80,80,80,7.8
JBHT,19.09,38.94,prior_year_close,6,12,42,48,48,48,37.22
JBL,28.37,49.73,prior_year_close,12,12,72,72,72,72,42.02
JCI,10.15,27.85,prior_year_close,6,12,75,81,81,81,25.18
JKHY,-8.36,-13.84,prior_year_close,-4,-10,50,44,44,44,-11.85
JNJ,9.84,26.66,prior_year_close,6,12,65,71,71,71,26.41
JPM,12.07,12.53,prior_year_close,6,6,54,54,54,54,11.4
KDP,6.95,9.76,prior_year_close,6,6,32,32,32,32,9.96
KEY,0.75,12.32,prior_year_close,2,6,53,57,57,57,10.5
KEYS,44.52,67.81,prior_year_close,12,12,84,84,80,84,65.05
KHC,6.64,8.09,prior_year_close,6,6,52,52,52,52,7.47
KIM,14.91,23.36,prior_year_close,6,12,45,51,51,51,24.65
KKR,-3.81,-19.05,prior_year_close,-4,-10,71,65,65,65,-19.94
KLAC,37.92,63.46,prior_year_close,12,12,43,43,39,43,55.85
KMB,7.51,11.57,prior_year_close,6,6,60,60,60,60,11.01
KMI,1.41,15.43,prior_year_close,2,6,41,45,45,45,14.51
KO,13.14,26.18,prior_year_close,6,12,75,81,81,81,27.63
KR,-18.24,-8.27,prior_year_close,-10,-4,37,43,43,43,-8.97
KVUE,8.28,14.12,prior_year_close,6,6,60,60,60,60,13.66
KYMR,36.07,38.18,prior_year_close,12,12,63,63,63,63,47.77
L,4.3,9.83,prior_year_close,2,6,48,52,52,52,10.51
LDOS,-28.87,-23.28,prior_year_close,-10,-10,59,59,59,59,-24.57
LEN,-21.83,-12.87,prior_year_close,-10,-10,62,62,62,62,-14.05
LH,17.09,27.89,prior_year_close,6,12,70,76,76,76,27.49
LHX,-17.62,-1.61,prior_year_close,-10,-4,42,48,48,48,-5.14
LII,-16.47,-8.95,prior_year_close,-10,-4,26,32,26,32,-11.38
LIN,8.07,15.66,prior_year_close,6,6,42,42,42,42,14.93
LITE,54.24,141.51,prior_year_close,8,12,80,84,70,84,130.55
LLY,13.89,10.71,prior_year_close,6,6,65,65,65,65,10.12
LMT,-6.8,23.0,prior_year_close,-4,12,65,81,75,81,19.68
LNT,5.26,9.2,prior_year_close,6,6,42,42,42,42,8.24
LOW,-18.45,-5.94,prior_year_close,-10,-4,62,68,68,68,-8.13
LRCX,36.05,82.23,prior_year_close,12,12,72,72,68,72,68.56
LULU,-26.81,-38.13,prior_year_close,-10,-10,64,64,64,64,-39.01
LUV,-11.06,14.83,prior_year_close,-10,6,57,73,73,73,14.91
LVS,-18.97,-28.45,prior_year_close,-10,-10,37,37,37,37,-28.58
LYB,9.87,40.75,prior_year_close,6,12,53,59,59,59,37.29
LYV,22.14,26.78,prior_year_close,12,12,66,66,66,66,24.33
MA,5.52,-0.91,prior_year_close,6,-4,81,71,77,71,0.46
MAA,3.46,0.62,prior_year_close,2,2,74,74,74,74,0.46
MAR,7.27,14.52,prior_year_close,6,6,35,35,35,35,13.36
MAS,9.22,23.25,prior_year_close,6,12,65,71,71,71,21.32
MCD,-14.65,-9.08,prior_year_close,-10,-4,62,68,68,68,-8.37
MCHP,15.06,34.36,prior_year_close,6,12,66,72,72,72,31.66
MCK,-9.46,6.21,prior_year_close,-4,6,71,81,81,81,5.81
MCO,6.78,-6.05,prior_year_close,6,-4,57,47,47,47,-3.82
MDLZ,4.86,18.3,prior_year_close,2,6,77,81,81,81,18.7
MDT,-12.77,-7.7,prior_year_close,-10,-4,64,70,70,70,-7.69
MET,29.95,26.48,prior_year_close,12,12,81,81,81,81,24.3
META,-12.41,-10.14,prior_year_close,-10,-10,29,29,35,29,-8.8
MGM,16.84,21.87,prior_year_close,6,12,37,43,43,43,21.87
MKC,-20.51,-20.84,prior_year_close,-10,-10,70,70,70,70,-19.86
MKSI,21.91,91.19,prior_year_close,12,12,43,43,39,43,81.47
MLM,-20.94,-11.66,prior_year_close,-10,-10,21,21,21,21,-13.3
MMM,8.45,15.35,prior_year_close,6,6,72,72,72,72,14.12
MNST,11.69,17.86,prior_year_close,6,6,45,45,45,45,18.64
MO,9.53,22.33,prior_year_close,6,12,45,51,51,51,23.08
MOG-A,24.24,65.83,prior_year_close,12,12,66,66,62,66,61.63
MOS,-20.53,-2.49,prior_year_close,-10,-4,65,71,71,71,-6.11
MPC,47.28,84.98,prior_year_close,12,12,58,58,54,58,82.17
MPWR,16.61,55.18,prior_year_close,6,12,66,72,68,72,50.22
MRK,10.89,23.94,prior_year_close,6,12,60,66,66,66,22.56
MRNA,41.05,100.64,prior_year_close,12,12,51,51,47,51,91.74
MRSH,13.2,4.95,prior_year_close,6,2,75,71,75,71,6.71
MRVL,165.8,157.76,prior_year_close,-7,12,53,72,58,72,145.04
MS,19.93,23.86,prior_year_close,6,12,86,92,92,92,20.89
MSCI,1.44,-1.1,prior_year_close,2,-4,28,22,28,22,0.39
MSFT,21.43,3.85,prior_year_close,12,2,76,66,70,66,6.19
MSI,11.26,22.66,prior_year_close,6,12,75,81,81,81,23.4
MTB,7.49,26.05,prior_year_close,6,12,60,66,66,66,24.46
MTD,3.52,2.53,prior_year_close,2,2,71,71,71,71,1.28
MU,128.96,207.65,prior_year_close,-2,12,50,64,45,64,178.38
MXL,294.42,330.18,prior_year_close,-7,12,50,69,50,69,305.08
NCLH,-15.75,-13.75,prior_year_close,-10,-10,24,24,24,24,-15.5
NDAQ,10.35,-1.96,prior_year_close,6,-4,54,44,44,44,-1.48
NDSN,7.1,29.74,prior_year_close,6,12,75,81,81,81,29.42
NEE,-4.06,6.94,prior_year_close,-4,6,35,45,45,45,6.08
NEM,-6.01,13.64,prior_year_close,-4,6,57,67,67,67,12.11
NFLX,-9.0,-20.93,prior_year_close,-4,-10,48,42,42,42,-18.52
NI,-2.89,4.07,prior_year_close,-4,2,27,33,33,33,3.08
NKE,-32.14,-33.52,prior_year_close,-10,-10,16,16,16,16,-33.07
NOC,-17.49,1.0,prior_year_close,-10,2,61,73,67,73,-1.66
NOW,20.23,-18.48,prior_year_close,12,-10,86,64,64,64,-15.31
NRG,-23.64,-25.09,prior_year_close,-10,-10,24,24,24,24,-28.21
NSC,10.28,17.28,prior_year_close,6,6,52,52,52,52,17.65
NTAP,84.29,79.29,prior_year_close,8,12,77,81,77,81,79.46
NTRS,21.06,37.2,prior_year_close,12,12,71,71,71,71,34.55
NUE,42.03,68.13,prior_year_close,12,12,81,81,77,81,61.88
NVDA,17.99,20.23,prior_year_close,6,12,80,86,80,86,18.74
NVR,-18.93,-12.38,prior_year_close,-10,-10,29,29,29,29,-12.21
NWS,23.98,9.92,prior_year_close,12,6,87,81,81,81,9.4
NWSA,25.94,9.64,prior_year_close,12,6,87,81,81,81,9.35
NXPI,5.62,11.38,prior_year_close,6,6,42,42,42,42,9.26
O,1.66,14.29,prior_year_close,2,6,48,52,52,52,12.41
ODFL,10.62,38.35,prior_year_close,6,12,37,43,43,43,36.28
OKE,6.46,22.06,prior_year_close,6,12,40,46,46,46,20.68
OMC,22.98,7.75,prior_year_close,12,6,86,80,80,80,7.0
ON,24.69,49.9,prior_year_close,12,12,64,64,64,64,43.16
ONTO,44.01,95.3,prior_year_close,12,12,84,84,80,84,85.87
ORCL,-5.46,-23.84,prior_year_close,-4,-10,56,50,50,50,-24.15
ORKA,197.11,226.03,prior_year_close,-7,12,67,86,67,86,249.56
ORLY,0.87,2.54,prior_year_close,2,2,68,68,68,68,3.53
OTIS,-16.26,-14.39,prior_year_close,-10,-10,70,70,70,70,-15.35
OXY,20.95,37.24,prior_year_close,12,12,71,71,71,71,33.16
PANW,119.19,97.54,prior_year_close,-2,12,72,86,72,86,102.85
PAYX,25.24,10.65,prior_year_close,12,6,81,75,75,75,14.3
PCAR,5.19,22.25,prior_year_close,6,12,60,66,60,66,20.0
PCG,7.41,9.28,prior_year_close,6,6,57,57,57,57,7.93
PEG,-5.23,-4.2,prior_year_close,-4,-4,32,32,32,32,-5.01
PEP,-14.86,-1.24,prior_year_close,-10,-4,45,51,51,51,-0.35
PFE,2.32,13.02,prior_year_close,2,6,71,75,75,75,11.76
PFG,20.23,30.75,prior_year_close,12,12,87,87,87,87,28.98
PG,-5.94,3.99,prior_year_close,-4,2,30,36,40,36,5.11
PGR,6.95,0.66,prior_year_close,6,2,62,58,58,58,1.61
PH,9.95,22.68,prior_year_close,6,12,75,81,81,81,20.62
PHM,0.83,13.82,prior_year_close,2,6,82,86,86,86,12.09
PKG,8.6,25.71,prior_year_close,6,12,75,81,81,81,22.8
PLD,3.67,11.48,prior_year_close,2,6,41,45,45,45,10.28
PLTR,20.36,-3.23,prior_year_close,12,-4,84,68,74,68,2.47
PM,6.06,20.23,prior_year_close,6,12,57,63,63,63,20.3
PNC,6.47,23.84,prior_year_close,6,12,60,66,66,66,22.24
PNR,-28.83,-33.19,prior_year_close,-10,-10,45,45,45,45,-34.03
PNW,10.46,17.09,prior_year_close,6,6,45,45,45,45,17.84
PODD,-42.51,-50.33,prior_year_close,-10,-10,32,32,32,32,-50.1
PPG,-5.01,18.28,prior_year_close,-4,6,68,78,78,78,16.14
PPL,0.93,2.84,prior_year_close,2,2,33,33,33,33,2.57
PRAX,12.9,22.4,prior_year_close,6,12,80,86,86,86,25.96
PRU,21.92,10.38,prior_year_close,12,6,66,60,60,60,9.42
PSA,15.9,29.03,prior_year_close,6,12,83,89,89,89,29.56
PSKY,-13.09,-30.73,prior_year_close,-10,-10,50,50,50,50,-29.58
PSX,31.48,60.48,prior_year_close,12,12,58,58,54,58,58.6
PTC,-7.53,-15.21,prior_year_close,-4,-10,65,59,59,59,-13.16
PWR,30.62,59.28,prior_year_close,12,12,67,67,63,67,52.86
PYPL,44.46,1.82,prior_year_close,12,2,52,42,42,42,2.24
Q,31.33,69.21,prior_year_close,12,12,72,72,68,72,62.58
QCOM,22.05,-0.87,prior_year_close,12,-4,72,56,56,56,-1.98
QNT,-2.77,-2.77,first_close_of_year,-4,-4,56,56,56,56,-2.77
RCL,-7.08,15.94,prior_year_close,-4,6,62,72,72,72,14.16
REG,3.35,13.87,prior_year_close,2,6,41,45,45,45,15.67
REGN,0.79,1.89,prior_year_close,2,2,59,59,59,59,1.31
RF,4.15,18.21,prior_year_close,2,6,56,60,60,60,16.24
RIOT,37.07,61.96,prior_year_close,12,12,59,59,59,59,44.92
RJF,2.41,11.12,prior_year_close,2,6,68,72,72,72,8.71
RKLB,9.22,18.74,prior_year_close,6,6,66,66,66,66,9.0
RL,14.2,12.44,prior_year_close,6,6,78,78,78,78,9.67
RMD,-22.79,-11.54,prior_year_close,-10,-10,65,65,65,65,-12.97
ROK,8.1,14.1,prior_year_close,6,6,35,35,35,35,11.39
