t,ytd_old,ytd_new,basis,p_old,p_new,s1g,s2g,s1u,s2u,ytd_uni_old
VRTX,5.35,9.42,prior_year_close,6,6,86,86,86,86,9.72
VSAT,73.68,133.26,prior_year_close,8,12,83,87,73,87,113.61
VST,-7.84,-12.61,prior_year_close,-4,-10,32,26,26,26,-14.68
VTR,14.21,22.14,prior_year_close,6,12,57,63,63,63,22.22
VTRS,7.28,34.07,prior_year_close,6,12,40,46,46,46,33.97
VZ,3.32,21.35,prior_year_close,2,12,77,87,87,87,21.98
WAB,19.52,37.04,prior_year_close,6,12,81,87,87,87,35.25
WAT,23.99,7.12,prior_year_close,12,6,86,80,80,80,6.52
WBD,-1.58,-7.08,prior_year_close,-4,-4,68,68,68,68,-6.07
WDAY,16.23,-16.36,prior_year_close,6,-10,75,59,59,59,-12.71
WDC,51.97,152.29,prior_year_close,8,12,39,43,29,43,131.55
WEC,-1.66,3.8,prior_year_close,-4,2,32,38,38,38,2.81
WELL,20.95,28.53,prior_year_close,12,12,63,63,63,63,27.62
WFC,-6.72,-4.84,prior_year_close,-4,-4,50,50,50,50,-6.84
WM,-0.4,4.49,prior_year_close,-4,2,47,53,57,53,5.12
WMB,5.28,18.83,prior_year_close,6,6,32,32,32,32,17.39
WMT,-12.96,0.79,prior_year_close,-10,2,37,49,43,49,-0.41
WRB,4.46,3.16,prior_year_close,2,2,48,48,48,48,4.29
WSM,16.57,42.46,prior_year_close,6,12,80,86,86,86,35.44
WST,42.44,28.99,prior_year_close,12,12,89,89,89,89,28.4
WTW,19.7,5.67,prior_year_close,6,6,70,70,70,70,6.42
WY,-2.39,9.85,prior_year_close,-4,6,65,75,75,75,9.34
WYNN,-11.89,-14.37,prior_year_close,-10,-10,56,56,56,56,-15.94
XEL,3.68,7.28,prior_year_close,2,6,41,45,45,45,6.11
XOM,2.58,28.89,prior_year_close,2,12,56,66,66,66,26.46
XYL,-13.54,-11.0,prior_year_close,-10,-10,36,36,36,36,-11.6
XYZ,39.13,21.37,prior_year_close,12,12,58,58,58,58,21.26
YUM,-4.22,0.61,prior_year_close,-4,2,43,49,49,49,1.13
ZBH,8.18,7.95,prior_year_close,6,6,81,81,81,81,7.83
ZBRA,46.05,55.05,prior_year_close,12,12,77,77,73,77,51.63
ZTS,-42.27,-41.35,prior_year_close,-10,-10,19,19,19,19,-41.39
